,reference_date,table,total_size
283699,2020-10-31,TAB000000,582085
283706,2020-11-01,TAB000000,572446
283717,2020-11-02,TAB000000,571368
283728,2020-11-03,TAB000000,578707
283730,2020-11-04,TAB000000,583563
283731,2020-11-05,TAB000000,587009
283732,2020-11-06,TAB000000,603026
283733,2020-11-07,TAB000000,615226
283734,2020-11-08,TAB000000,626125
283735,2020-11-09,TAB000000,639692
283707,2020-11-10,TAB000000,646097
283708,2020-11-11,TAB000000,654102
283709,2020-11-12,TAB000000,651121
283710,2020-11-13,TAB000000,662592
283711,2020-11-14,TAB000000,666612
283712,2020-11-15,TAB000000,676223
283713,2020-11-16,TAB000000,692883
283714,2020-11-17,TAB000000,706504
283715,2020-11-18,TAB000000,705206
283716,2020-11-19,TAB000000,709230
283718,2020-11-20,TAB000000,711953
283719,2020-11-21,TAB000000,720389
283720,2020-11-22,TAB000000,725253
283721,2020-11-23,TAB000000,729365
283722,2020-11-24,TAB000000,733117
283723,2020-11-25,TAB000000,742155
283724,2020-11-26,TAB000000,747558
283725,2020-11-27,TAB000000,755115
283726,2020-11-28,TAB000000,758944
283727,2020-11-29,TAB000000,758999
283729,2020-11-30,TAB000000,757583
283736,2020-12-01,TAB000000,782124
283747,2020-12-02,TAB000000,786503
283758,2020-12-03,TAB000000,786285
283761,2020-12-04,TAB000000,792538
283762,2020-12-05,TAB000000,798906
283763,2020-12-06,TAB000000,803277
283764,2020-12-07,TAB000000,806967
283765,2020-12-08,TAB000000,810009
283766,2020-12-09,TAB000000,806990
283737,2020-12-10,TAB000000,813981
283738,2020-12-11,TAB000000,822249
283739,2020-12-12,TAB000000,830379
283740,2020-12-13,TAB000000,838199
283741,2020-12-14,TAB000000,864034
283742,2020-12-15,TAB000000,873551
283743,2020-12-16,TAB000000,886581
283744,2020-12-17,TAB000000,899559
283745,2020-12-18,TAB000000,917469
283746,2020-12-19,TAB000000,931380
283748,2020-12-20,TAB000000,942258
283749,2020-12-21,TAB000000,990721
283750,2020-12-22,TAB000000,1009124
283751,2020-12-23,TAB000000,1017384
283752,2020-12-24,TAB000000,1034869
283753,2020-12-25,TAB000000,1050206
283754,2020-12-26,TAB000000,1068087
283755,2020-12-27,TAB000000,1080430
283756,2020-12-28,TAB000000,1092505
283757,2020-12-29,TAB000000,1107390
283759,2020-12-30,TAB000000,1114423
283760,2020-12-31,TAB000000,1131914
284025,2021-01-01,TAB000000,1125304
284036,2021-01-02,TAB000000,1093319
284047,2021-01-03,TAB000000,1107449
284050,2021-01-04,TAB000000,1112653
284051,2021-01-05,TAB000000,1112369
284052,2021-01-06,TAB000000,1111096
284053,2021-01-07,TAB000000,1105790
284054,2021-01-08,TAB000000,1098528
284055,2021-01-09,TAB000000,1095663
284026,2021-01-10,TAB000000,1081414
284027,2021-01-11,TAB000000,1076578
284028,2021-01-12,TAB000000,1069894
284029,2021-01-13,TAB000000,1063438
284030,2021-01-14,TAB000000,1042646
284031,2021-01-15,TAB000000,1028989
284032,2021-01-16,TAB000000,1012651
284033,2021-01-17,TAB000000,994463
284034,2021-01-18,TAB000000,980427
284035,2021-01-19,TAB000000,968666
284037,2021-01-20,TAB000000,950168
284038,2021-01-21,TAB000000,934722
284039,2021-01-22,TAB000000,924525
284040,2021-01-23,TAB000000,903485
284041,2021-01-24,TAB000000,866399
284042,2021-01-25,TAB000000,866764
284043,2021-01-26,TAB000000,866670
284044,2021-01-27,TAB000000,855350
284045,2021-01-28,TAB000000,843563
284046,2021-01-29,TAB000000,829942
284048,2021-01-30,TAB000000,802418
284049,2021-01-31,TAB000000,819172
284148,2021-02-01,TAB000000,780630
284159,2021-02-02,TAB000000,765815
284169,2021-02-03,TAB000000,744092
284170,2021-02-04,TAB000000,724423
284171,2021-02-05,TAB000000,717737
284172,2021-02-06,TAB000000,705663
284173,2021-02-07,TAB000000,693230
284174,2021-02-08,TAB000000,674945
284175,2021-02-09,TAB000000,663624
284149,2021-02-10,TAB000000,651343
284150,2021-02-11,TAB000000,637456
284151,2021-02-12,TAB000000,621243
284152,2021-02-13,TAB000000,609847
284153,2021-02-14,TAB000000,597270
284154,2021-02-15,TAB000000,586823
284155,2021-02-16,TAB000000,582052
284156,2021-02-17,TAB000000,574924
284157,2021-02-18,TAB000000,564340
284158,2021-02-19,TAB000000,567503
284160,2021-02-20,TAB000000,575743
284161,2021-02-21,TAB000000,573011
284162,2021-02-22,TAB000000,576086
284163,2021-02-23,TAB000000,578038
284164,2021-02-24,TAB000000,582073
284165,2021-02-25,TAB000000,575806
284166,2021-02-26,TAB000000,573427
284167,2021-02-27,TAB000000,568191
284168,2021-02-28,TAB000000,563476
284176,2021-03-01,TAB000000,607162
284187,2021-03-02,TAB000000,595717
284198,2021-03-03,TAB000000,601324
284201,2021-03-04,TAB000000,596218
284202,2021-03-05,TAB000000,597070
284203,2021-03-06,TAB000000,595350
284204,2021-03-07,TAB000000,581132
284205,2021-03-08,TAB000000,578022
284206,2021-03-09,TAB000000,573372
284177,2021-03-10,TAB000000,567417
284178,2021-03-11,TAB000000,569541
284179,2021-03-12,TAB000000,569896
284180,2021-03-13,TAB000000,571831
284181,2021-03-14,TAB000000,567947
284182,2021-03-15,TAB000000,558842
284183,2021-03-16,TAB000000,556724
284184,2021-03-17,TAB000000,558078
284185,2021-03-18,TAB000000,556667
284186,2021-03-19,TAB000000,557696
284188,2021-03-20,TAB000000,558722
284189,2021-03-21,TAB000000,553606
284190,2021-03-22,TAB000000,552895
284191,2021-03-23,TAB000000,550930
284192,2021-03-24,TAB000000,551829
284193,2021-03-25,TAB000000,553109
284194,2021-03-26,TAB000000,553316
284195,2021-03-27,TAB000000,554265
284196,2021-03-28,TAB000000,552942
284197,2021-03-29,TAB000000,595409
284199,2021-03-30,TAB000000,554948
284200,2021-03-31,TAB000000,511030
284207,2021-04-01,TAB000000,490987
284218,2021-04-02,TAB000000,484792
284229,2021-04-03,TAB000000,484465
284231,2021-04-04,TAB000000,483250
284232,2021-04-05,TAB000000,483451
284233,2021-04-06,TAB000000,487454
284234,2021-04-07,TAB000000,486816
284235,2021-04-08,TAB000000,480093
284236,2021-04-09,TAB000000,482303
284208,2021-04-10,TAB000000,482287
284209,2021-04-11,TAB000000,482355
284210,2021-04-12,TAB000000,503142
284211,2021-04-13,TAB000000,503055
284212,2021-04-14,TAB000000,511660
284213,2021-04-15,TAB000000,517561
284214,2021-04-16,TAB000000,520844
284215,2021-04-17,TAB000000,524717
284216,2021-04-18,TAB000000,527693
284217,2021-04-19,TAB000000,537024
284219,2021-04-20,TAB000000,544032
284220,2021-04-21,TAB000000,551223
284221,2021-04-22,TAB000000,554579
284222,2021-04-23,TAB000000,571159
284223,2021-04-24,TAB000000,581595
284224,2021-04-25,TAB000000,606371
284225,2021-04-26,TAB000000,623632
284226,2021-04-27,TAB000000,634523
284227,2021-04-28,TAB000000,649842
284228,2021-04-29,TAB000000,662659
284230,2021-04-30,TAB000000,688001
284237,2021-05-01,TAB000000,696048
284248,2021-05-02,TAB000000,697645
284259,2021-05-03,TAB000000,698838
284262,2021-05-04,TAB000000,707467
284263,2021-05-05,TAB000000,720534
284264,2021-05-06,TAB000000,731157
284265,2021-05-07,TAB000000,738479
284266,2021-05-08,TAB000000,748011
284267,2021-05-09,TAB000000,755654
284238,2021-05-10,TAB000000,760476
284239,2021-05-11,TAB000000,765254
284240,2021-05-12,TAB000000,783708
284241,2021-05-13,TAB000000,800089
284242,2021-05-14,TAB000000,820383
284243,2021-05-15,TAB000000,838115
284244,2021-05-16,TAB000000,849366
284245,2021-05-17,TAB000000,857862
284246,2021-05-18,TAB000000,866053
284247,2021-05-19,TAB000000,879268
284249,2021-05-20,TAB000000,896973
284250,2021-05-21,TAB000000,909236
284251,2021-05-22,TAB000000,931933
284252,2021-05-23,TAB000000,939915
284253,2021-05-24,TAB000000,914333
284254,2021-05-25,TAB000000,916298
284255,2021-05-26,TAB000000,929730
284256,2021-05-27,TAB000000,943360
284257,2021-05-28,TAB000000,966913
284258,2021-05-29,TAB000000,964157
284260,2021-05-30,TAB000000,972692
284261,2021-05-31,TAB000000,941875
284268,2021-06-01,TAB000000,938310
284279,2021-06-02,TAB000000,935579
284290,2021-06-03,TAB000000,940841
284292,2021-06-04,TAB000000,947015
284293,2021-06-05,TAB000000,953540
284294,2021-06-06,TAB000000,950810
284295,2021-06-07,TAB000000,950878
284296,2021-06-08,TAB000000,953813
284297,2021-06-09,TAB000000,960344
284269,2021-06-10,TAB000000,971403
284270,2021-06-11,TAB000000,979224
284271,2021-06-12,TAB000000,972782
284272,2021-06-13,TAB000000,964982
284273,2021-06-14,TAB000000,951712
284274,2021-06-15,TAB000000,941109
284275,2021-06-16,TAB000000,937522
284276,2021-06-17,TAB000000,928263
284277,2021-06-18,TAB000000,920383
284278,2021-06-19,TAB000000,913295
284280,2021-06-20,TAB000000,892484
284281,2021-06-21,TAB000000,881635
284282,2021-06-22,TAB000000,877775
284283,2021-06-23,TAB000000,881048
284284,2021-06-24,TAB000000,889738
284285,2021-06-25,TAB000000,908644
284286,2021-06-26,TAB000000,912234
284287,2021-06-27,TAB000000,915095
284288,2021-06-28,TAB000000,922001
284289,2021-06-29,TAB000000,921977
284291,2021-06-30,TAB000000,931421
284298,2021-07-01,TAB000000,942656
284309,2021-07-02,TAB000000,954052
284320,2021-07-03,TAB000000,950867
284323,2021-07-04,TAB000000,949784
284324,2021-07-05,TAB000000,952367
284325,2021-07-06,TAB000000,949268
284326,2021-07-07,TAB000000,960302
284327,2021-07-08,TAB000000,972286
284328,2021-07-09,TAB000000,977515
284299,2021-07-10,TAB000000,980184
284300,2021-07-11,TAB000000,972008
284301,2021-07-12,TAB000000,966863
284302,2021-07-13,TAB000000,954462
284303,2021-07-14,TAB000000,953679
284304,2021-07-15,TAB000000,961754
284305,2021-07-16,TAB000000,965429
284306,2021-07-17,TAB000000,962058
284307,2021-07-18,TAB000000,961992
284308,2021-07-19,TAB000000,962861
284310,2021-07-20,TAB000000,959752
284311,2021-07-21,TAB000000,953471
284312,2021-07-22,TAB000000,945991
284313,2021-07-23,TAB000000,941625
284314,2021-07-24,TAB000000,938078
284315,2021-07-25,TAB000000,935980
284316,2021-07-26,TAB000000,927127
284317,2021-07-27,TAB000000,919567
284318,2021-07-28,TAB000000,919703
284319,2021-07-29,TAB000000,923250
284321,2021-07-30,TAB000000,919692
284322,2021-07-31,TAB000000,887518
284329,2021-08-01,TAB000000,855650
284340,2021-08-02,TAB000000,839963
284351,2021-08-03,TAB000000,829047
284354,2021-08-04,TAB000000,828220
284355,2021-08-05,TAB000000,819172
284356,2021-08-06,TAB000000,811407
284357,2021-08-07,TAB000000,797746
284358,2021-08-08,TAB000000,777720
284359,2021-08-09,TAB000000,752806
284330,2021-08-10,TAB000000,751058
284331,2021-08-11,TAB000000,742121
284332,2021-08-12,TAB000000,729909
284333,2021-08-13,TAB000000,716235
284334,2021-08-14,TAB000000,703908
284335,2021-08-15,TAB000000,693593
284336,2021-08-16,TAB000000,757005
284337,2021-08-17,TAB000000,743465
284338,2021-08-18,TAB000000,735892
284339,2021-08-19,TAB000000,726238
284341,2021-08-20,TAB000000,718317
284342,2021-08-21,TAB000000,712728
284343,2021-08-22,TAB000000,707054
284344,2021-08-23,TAB000000,696334
284345,2021-08-24,TAB000000,700046
284346,2021-08-25,TAB000000,692472
284347,2021-08-26,TAB000000,687417
284348,2021-08-27,TAB000000,675980
284349,2021-08-28,TAB000000,665743
284350,2021-08-29,TAB000000,659671
284352,2021-08-30,TAB000000,655567
284353,2021-08-31,TAB000000,641641
284360,2021-09-01,TAB000000,644586
284371,2021-09-02,TAB000000,638519
284382,2021-09-03,TAB000000,633760
284384,2021-09-04,TAB000000,620540
284385,2021-09-05,TAB000000,614657
284386,2021-09-06,TAB000000,606306
284387,2021-09-07,TAB000000,605159
284388,2021-09-08,TAB000000,595777
284389,2021-09-09,TAB000000,587471
284361,2021-09-10,TAB000000,591951
284362,2021-09-11,TAB000000,586522
284363,2021-09-12,TAB000000,586077
284364,2021-09-13,TAB000000,583893
284365,2021-09-14,TAB000000,581721
284366,2021-09-15,TAB000000,584621
284367,2021-09-16,TAB000000,588571
284368,2021-09-17,TAB000000,590138
284369,2021-09-18,TAB000000,592943
284370,2021-09-19,TAB000000,594227
284372,2021-09-20,TAB000000,593582
284373,2021-09-21,TAB000000,598140
284374,2021-09-22,TAB000000,601853
284375,2021-09-23,TAB000000,608836
284376,2021-09-24,TAB000000,609147
284377,2021-09-25,TAB000000,608543
284378,2021-09-26,TAB000000,608468
284379,2021-09-27,TAB000000,609850
284380,2021-09-28,TAB000000,612687
284381,2021-09-29,TAB000000,613613
284383,2021-09-30,TAB000000,556974
284056,2021-10-01,TAB000000,642531
284067,2021-10-02,TAB000000,642889
284078,2021-10-03,TAB000000,645277
284081,2021-10-04,TAB000000,644489
284082,2021-10-05,TAB000000,656492
284083,2021-10-06,TAB000000,664107
284084,2021-10-07,TAB000000,659668
284085,2021-10-08,TAB000000,664559
284086,2021-10-09,TAB000000,657934
284057,2021-10-10,TAB000000,682353
284058,2021-10-11,TAB000000,668732
284059,2021-10-12,TAB000000,673153
284060,2021-10-13,TAB000000,680966
284061,2021-10-14,TAB000000,689859
284062,2021-10-15,TAB000000,698529
284063,2021-10-16,TAB000000,704761
284064,2021-10-17,TAB000000,708003
284065,2021-10-18,TAB000000,713843
284066,2021-10-19,TAB000000,717615
284068,2021-10-20,TAB000000,732484
284069,2021-10-21,TAB000000,748221
284070,2021-10-22,TAB000000,770868
284071,2021-10-23,TAB000000,783602
284072,2021-10-24,TAB000000,794733
